"Maakunta";"Rikos";"Uhrin ikä";"Vuosi";"Tiedot";"Uhri mies";"Uhri nainen"
"KOKO MAA";"Seksuaalinen ahdistelu 20:5a§1";"Yhteensä";"2019";"Uhrien lukumäärä";28;487
"KOKO MAA";"Seksuaalinen ahdistelu 20:5a§1";"Yhteensä";"2020";"Uhrien lukumäärä";24;483
"KOKO MAA";"Seksuaalinen hyväksikäyttö 20:5§1/1-4";"Yhteensä";"2009";"Uhrien lukumäärä";21;218
"KOKO MAA";"Seksuaalinen hyväksikäyttö 20:5§1/1-4";"Yhteensä";"2010";"Uhrien lukumäärä";37;282
"KOKO MAA";"Seksuaalinen hyväksikäyttö 20:5§1/1-4";"Yhteensä";"2011";"Uhrien lukumäärä";24;242
"KOKO MAA";"Seksuaalinen hyväksikäyttö 20:5§1/1-4";"Yhteensä";"2012";"Uhrien lukumäärä";18;157
"KOKO MAA";"Seksuaalinen hyväksikäyttö 20:5§1/1-4";"Yhteensä";"2013";"Uhrien lukumäärä";12;126
"KOKO MAA";"Seksuaalinen hyväksikäyttö 20:5§1/1-4";"Yhteensä";"2014";"Uhrien lukumäärä";15;84
"KOKO MAA";"Seksuaalinen hyväksikäyttö 20:5§1/1-4";"Yhteensä";"2015";"Uhrien lukumäärä";13;78
"KOKO MAA";"Seksuaalinen hyväksikäyttö 20:5§1/1-4";"Yhteensä";"2016";"Uhrien lukumäärä";16;72
"KOKO MAA";"Seksuaalinen hyväksikäyttö 20:5§1/1-4";"Yhteensä";"2017";"Uhrien lukumäärä";10;70
"KOKO MAA";"Seksuaalinen hyväksikäyttö 20:5§1/1-4";"Yhteensä";"2018";"Uhrien lukumäärä";8;82
"KOKO MAA";"Seksuaalinen hyväksikäyttö 20:5§1/1-4";"Yhteensä";"2019";"Uhrien lukumäärä";14;75
"KOKO MAA";"Seksuaalinen hyväksikäyttö 20:5§1/1-4";"Yhteensä";"2020";"Uhrien lukumäärä";11;78
"KOKO MAA";"Paritus 20:9§1/1-5";"Yhteensä";"2009";"Uhrien lukumäärä";0;0
"KOKO MAA";"Paritus 20:9§1/1-5";"Yhteensä";"2010";"Uhrien lukumäärä";0;0
"KOKO MAA";"Paritus 20:9§1/1-5";"Yhteensä";"2011";"Uhrien lukumäärä";1;7
"KOKO MAA";"Paritus 20:9§1/1-5";"Yhteensä";"2012";"Uhrien lukumäärä";0;9
"KOKO MAA";"Paritus 20:9§1/1-5";"Yhteensä";"2013";"Uhrien lukumäärä";0;2
"KOKO MAA";"Paritus 20:9§1/1-5";"Yhteensä";"2014";"Uhrien lukumäärä";0;1
"KOKO MAA";"Paritus 20:9§1/1-5";"Yhteensä";"2015";"Uhrien lukumäärä";0;0
"KOKO MAA";"Paritus 20:9§1/1-5";"Yhteensä";"2016";"Uhrien lukumäärä";0;1
"KOKO MAA";"Paritus 20:9§1/1-5";"Yhteensä";"2017";"Uhrien lukumäärä";0;4
"KOKO MAA";"Paritus 20:9§1/1-5";"Yhteensä";"2018";"Uhrien lukumäärä";0;4
"KOKO MAA";"Paritus 20:9§1/1-5";"Yhteensä";"2019";"Uhrien lukumäärä";0;7
