"Uhrin ikä";"Hyvinvointialue";"Tiedot";"Vuosi";"Rikos";"Uhri mies";"Uhri nainen"
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Törkeä pahoinpitely 21:6";1621;376
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Lievä pahoinpitely 21:7§";5240;4159
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Ryöstö 31:1§1/1-2";921;297
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Ryöstön yritys 31:1§2";101;62
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Törkeä ryöstö 31:2§1/1-4";76;75
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Törkeän ryöstön yritys 31:2§2";13;10
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Kiristys 31:3§1";32;21
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Kiristyksen yritys 31:3§2";15;10
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Törkeä kiristys 31:4§1/1-4";9;1
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Törkeän kiristyksen yritys 31:4§2";3;4
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Vapaudenriisto 25:1-2§";94;114
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Laiton uhkaus 25:7§";1513;1570
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Vainoaminen 25:7a§";0;0
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Kuolemantuottamus 21:8-9";46;30
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Ihmiskauppa 25:3, 3a";0;1
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Panttivangin ottaminen 25:4";30;22
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2010";"Terrostisessa tarkoituksessa tehdyt rikokset";0;0
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2011";"YHTEENSÄ";31799;24828
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2011";"Raiskaus 20:§1-2,4";13;710
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2011";"Törkeä raiskaus 20:2";2;35
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2011";"Raiskaus (3 mom) 20:1§3-4";0;0
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2011";"Pakottaminen sukupuoliyhteyteen 20:3";6;201
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2011";"Lapsen seksuaalinen hyväksikäyttö 20:6";270;1017
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2011";"Törkeä lapsen seksuaalinen hyväksikäyttö 20:7";39;380
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2011";"Törkeä lapsenraiskaus 20:7b";0;0
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2011";"Seksuaalinen ahdistelu 20:5a§1";0;0
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2011";"Seksuaalinen hyväksikäyttö 20:5§1,3";39;269
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2011";"Pakottaminen seksuaaliseen tekoon 20:4";14;113
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2011";"Seksikaupan kohteena olevan henkilön hyväksikäyttö 20:8";0;0
"Yhteensä";"KOKO MAA";"Uhrien lukumäärä tapauskertojen mukaan (lkm.)";"2011";"Seksuaalipalvelujen ostaminen nuorelta 20:8a§1-2";2;11
